genes	logFC	logCPM	LR	PValue	FDR		
PARVB	1.252328733	5.902153358	10.45341888	0.001224227	0.023946207		
BLM	-0.372110269	4.369441193	10.4496317	0.001226739	0.023962528		
KLHDC2	-0.425146659	5.553777982	10.44212942	0.001231732	0.024027184		
CRLS1	-0.438178135	6.971160428	10.42479035	0.00124335	0.024220053		
ATF6	0.368421461	5.67734084	10.42232368	0.001245011	0.024220053		
LOC531691	-1.153005431	1.853902008	10.41904881	0.001247221	0.024230029		
TCN2	0.631866604	4.539523656	10.40979545	0.001253486	0.024318656		
DNASE1L1	0.431656547	6.017559184	10.40560095	0.001256337	0.024340884		
MAFG	0.411644098	5.72230815	10.39983701	0.001260264	0.024372296		
NUB1	0.431155651	7.409840866	10.39821526	0.001261372	0.024372296		
FAM188A	1.619843253	9.378047353	10.38732195	0.001268835	0.024436894		
LOC107132917	-1.542595671	1.521191597	10.38626702	0.00126956	0.024436894		
HSF4	0.956143191	3.150470947	10.38584717	0.001269849	0.024436894		
DPYD	0.577533449	6.134254206	10.37381752	0.00127815	0.024563528		
LOC101906317	-1.466588874	5.320230411	10.36476445	0.001284433	0.024639524		
HHEX	-0.35483437	5.849957096	10.36315172	0.001285555	0.024639524		
CNR2	-0.542808086	4.907539916	10.35343505	0.00129234	0.024736353		
ZNF585A	-0.39552574	5.588534174	10.34424438	0.00129879	0.02482654		
IRAK2	0.401093253	4.428125893	10.31491833	0.001319591	0.025190434		
MARVELD1	0.670719648	3.880894759	10.31125481	0.001322213	0.025206791		
CBR3	0.623960867	4.282976553	10.30021466	0.001330147	0.025324232		
LIN52	0.569057267	4.395607741	10.29376605	0.001334804	0.025379047		
LRRC36	0.919113596	1.799123649	10.28625495	0.001340248	0.025448678		
SLC22A15	-0.523993915	3.856121706	10.26817581	0.001353446	0.025633501		
PISD	0.377794137	4.798196613	10.26652962	0.001354654	0.025633501		
GPR34	-0.930302952	2.11836194	10.26525794	0.001355588	0.025633501		
TBC1D12	0.872078814	2.070372985	10.26311582	0.001357163	0.025633501		
BIN1	0.345914303	7.021785198	10.25830325	0.001360708	0.025663702		
ZNF548	-0.881719881	1.746322649	10.25606947	0.001362356	0.025663702		
LRRK1	0.504090253	4.692884433	10.25169007	0.001365594	0.025690806		
SLC35A5	-0.419266587	6.785501597	10.24326124	0.001371848	0.025774503		
LOC107132799	-0.868529478	2.579020963	10.23710856	0.001376432	0.025826635		
AIF1	1.08240355	7.222788482	10.21258497	0.001394855	0.026134977		
RAD51AP1	-0.379431914	4.606192594	10.20832964	0.001398077	0.026134977		
PRIM1	-0.362771463	5.507279313	10.2079625	0.001398356	0.026134977		
CIRBP	-0.524331426	6.975589711	10.19809062	0.001405861	0.026240909		
YPEL5	0.519966712	6.973212057	10.18263683	0.001417693	0.026427204		
CPA3	-0.78286113	1.32695369	10.17856153	0.00142083	0.026451146		
ABTB2	0.518158763	3.774944729	10.17344634	0.001424777	0.026490093		
IFI27	2.389915715	3.531874074	10.16955496	0.001427787	0.026511542		
LOC509810	-0.405214276	4.426853378	10.15842641	0.001436432	0.026637414		
F12	-0.58036341	2.162705731	10.15474104	0.001439306	0.026656099		
C23H6orf141	0.909649071	2.883931615	10.14293822	0.001448551	0.026792562		
NFYC	-0.300539085	5.947394463	10.11755305	0.001468639	0.027128964		
ZFYVE21	0.628201655	4.403764894	10.11393988	0.001471521	0.027147082		
DAG1	0.4642815	4.291907921	10.10231569	0.001480831	0.0272836		
ACSF3	-0.384216025	4.063117874	10.09428471	0.001487299	0.027364051		
ARGLU1	-0.552971171	8.451913186	10.09103944	0.00148992	0.027364051		
PRKCDBP	1.058811795	2.54913915	10.08977023	0.001490947	0.027364051		
SP100	-0.328452524	7.592584394	10.08441917	0.001495283	0.027408401		
CD180	0.852026615	5.513128878	10.08072502	0.001498284	0.027428196		
LOC101907482	-1.242381179	-0.259616536	10.07679025	0.001501487	0.027451636		
CXHXorf21	0.492988272	5.998710335	10.06073912	0.001514624	0.027656424		
LOC101905499	-0.882346104	6.275538348	10.04869141	0.001524562	0.027798543		
TMEM135	0.491894706	4.174188432	10.04659085	0.001526301	0.027798543		
SDR42E1	-0.819406838	1.410200252	10.03694496	0.001534315	0.027859776		
MYCN	-1.466346324	-0.504265159	10.03633745	0.001534821	0.027859776		
PADI4	-0.901619915	5.70425724	10.03550223	0.001535517	0.027859776		
IRF7	0.862351909	5.712602804	10.02471954	0.001544532	0.027987781		
KIAA1211L	-1.411454021	4.769882177	10.01855318	0.001549712	0.028013242		
OSCAR	0.851008729	4.665157051	10.01837592	0.001549861	0.028013242		
LOC107131558	1.513037432	0.710350458	9.999615343	0.001565729	0.028264283		
RYBP	0.324736037	6.112658928	9.99552129	0.001569214	0.028291423		
NCAPH	-0.501560696	4.144611282	9.949458077	0.001608968	0.028952093		
FZD4	1.173410611	0.405739353	9.948375528	0.001609914	0.028952093		
THEG	-4.217425952	-0.991126262	9.921528196	0.001633567	0.029323301		
FBXO7	0.403781712	6.045701025	9.920294039	0.001634663	0.029323301		
POU6F1	0.661394852	2.715760235	9.897864577	0.001654707	0.029608809		
LOC107131543	-0.754077916	1.507331516	9.897843362	0.001654726	0.029608809		
LOC512150	0.423130895	5.155424194	9.876259335	0.00167425	0.029885863		
SLC6A2	1.325974516	1.035109215	9.876099302	0.001674395	0.029885863		
ARMC12	-0.516262443	4.045507758	9.872904771	0.001677305	0.029900421		
GRAP2	0.596378718	6.944032276	9.854525131	0.001694145	0.030082912		
PSMF1	0.401947793	5.594495837	9.853925511	0.001694698	0.030082912		
MAP7D1	0.339097192	6.384664655	9.853047706	0.001695506	0.030082912		
MTFP1	0.426867303	4.956242189	9.852545564	0.001695969	0.030082912		
MS4A2	-0.94730687	3.647741254	9.847006842	0.001701083	0.030136186		
ADD3	-0.387676499	9.256223684	9.841350945	0.001706321	0.030191528		
LOC104973104	1.806707799	1.23792934	9.83486919	0.001712345	0.030260604		
ASCL4	0.845422868	1.559137488	9.828178163	0.001718585	0.030333342		
GPR15	-0.606202207	4.309912089	9.780140922	0.001764068	0.031080517		
LOC100847143	-0.487886393	5.050464076	9.777061512	0.001767025	0.031080517		
SQSTM1	0.472833011	8.692947004	9.776622042	0.001767447	0.031080517		
DCBLD1	0.605605195	3.238456006	9.766314129	0.001777384	0.031216814		
YARS	0.382541693	5.674905862	9.747206067	0.001795955	0.031504223		
LOC100336690	-0.373649757	4.6464931	9.744046406	0.001799044	0.031519699		
GOLPH3	0.283859883	6.619436392	9.739867952	0.001803139	0.031552714		
LOC511229	-0.434255285	7.141529411	9.723323067	0.001819443	0.031799045		
LOC100336669	0.949189452	5.199054351	9.708853611	0.001833824	0.031956373		
LOC101903951	1.304350129	0.025655213	9.70829685	0.001834379	0.031956373		
RIPK2	0.352428735	5.419349089	9.706225042	0.001836449	0.031956373		
CXXC5	-0.436412399	5.338010779	9.705276912	0.001837396	0.031956373		
SH2D1B	0.891787312	4.225075607	9.701251745	0.001841425	0.031967388		
ANAPC4	-0.292788255	5.991425165	9.698040619	0.001844646	0.031967388		
NFKBIE	0.467530639	4.956271687	9.697571542	0.001845117	0.031967388		
LOC101904579	0.855225055	3.754250847	9.695712291	0.001846985	0.031967388		
GCKR	-1.373214304	0.927973493	9.676322649	0.001866578	0.032267402		
RBM23	-0.32664828	6.319527552	9.667510174	0.001875553	0.032354106		
LOC104973829	-1.140864683	2.166118999	9.666949455	0.001876126	0.032354106		
ASUN	-0.3113477	6.081286573	9.639391672	0.001904483	0.032773803		
CD1B	-1.167181418	0.347455724	9.638418958	0.001905492	0.032773803		
RAB37	0.626718609	5.836604619	9.636630047	0.001907349	0.032773803		
CDCA7	-0.326205514	7.545292647	9.634321485	0.001909747	0.032775581		
CYP2D14	0.704530392	3.578586186	9.627414365	0.001916943	0.032851554		
FADS1	0.867407297	3.85277908	9.622403889	0.00192218	0.032851554		
PDE3A	1.268971658	2.518000887	9.619235107	0.001925499	0.032851554		
RNF144A	-0.397407995	6.525612414	9.618454381	0.001926318	0.032851554		
TRIB2	-0.515971432	5.149367805	9.618356867	0.00192642	0.032851554		
NPEPPS	0.316473026	6.178202215	9.616872017	0.001927978	0.032851554		
ACSL4	0.457012039	7.352349183	9.605139049	0.001940336	0.032964356		
LGALS12	-0.685535978	4.124653542	9.60420185	0.001941326	0.032964356		
NT5C3B	-0.38539781	5.312323736	9.601875641	0.001943787	0.032964356		
H2AFY	-0.328303526	7.632225421	9.601832637	0.001943833	0.032964356		
SH3PXD2A	0.778491778	2.666046709	9.592819311	0.001953398	0.033055401		
NUP155	-0.34319062	5.267654835	9.592411787	0.001953831	0.033055401		
BOLA-DMA	0.474171919	7.16533206	9.586213365	0.001960438	0.033127929		
SLC35E4	0.789191877	2.290745482	9.583185321	0.001963674	0.033143386		
FAM65C	1.499707174	2.876855756	9.567680662	0.001980328	0.033385013		
NRG1	0.977407045	3.206911557	9.562778893	0.001985623	0.0334348		
TPST2	-0.348576832	6.578319698	9.556574083	0.001992346	0.03350849		
LOC788425	0.742615782	3.063008072	9.541607964	0.002008657	0.033676865		
SV2B	-1.274507418	0.327619081	9.541181398	0.002009124	0.033676865		
HIGD1A	0.530565351	5.344573347	9.540899286	0.002009433	0.033676865		
PROCR	1.58989576	2.86898605	9.535883186	0.002014932	0.03372944		
UPB1	1.007414688	2.080107157	9.530450484	0.002020905	0.033789817		
MIPOL1	1.318880188	0.111148856	9.525744398	0.002026094	0.033836953		
ND6	0.533594628	5.541707661	9.514513738	0.002038531	0.03397199		
PPP5C	0.325157448	5.579645435	9.514147565	0.002038938	0.03397199		
GPR174	-0.473604588	8.456665842	9.496140469	0.002059046	0.03426703		
SLC7A11	-1.388542849	-0.396111589	9.489393348	0.002066631	0.034343946		
MLH1	-0.359813272	5.215233947	9.487754959	0.002068478	0.034343946		
ADAT2	-0.408181895	4.258848994	9.464157504	0.002095256	0.034748161		
BAZ1A	0.356682785	7.580519342	9.458627595	0.002101583	0.034812641		
GNA15	0.388379353	5.426335738	9.455683188	0.002104959	0.034828165		
PLEKHF2	-0.34195367	7.419350808	9.453466293	0.002107504	0.034829925		
LOC100337093	1.783941274	3.630142176	9.423575557	0.002142134	0.035361313		
EGLN3	1.05094297	6.41438257	9.413753518	0.002153639	0.035510177		
LOC104968436	-0.772118781	4.233566938	9.408380225	0.00215996	0.035573313		
LOC104968408	-0.888783338	0.846905851	9.391959719	0.002179391	0.035851989		
RABGAP1L	0.654362765	8.767104007	9.388396073	0.002183632	0.03588041		
CUX1	0.325589284	6.732831533	9.375681548	0.002198829	0.036076572		
WSCD1	-1.060428917	1.311241723	9.372801765	0.002202286	0.036076572		
PSME2	0.536267202	7.087422169	9.370002302	0.002205652	0.036076572		
DLL1	-0.67066119	2.491534796	9.369982724	0.002205676	0.036076572		
LOC100847609	-0.511663389	3.596111724	9.365927325	0.002210561	0.036097807		
RPS6KA2	-0.557875974	5.142526901	9.364709654	0.00221203	0.036097807		
LOC104969644	-1.820606981	1.290544423	9.360248493	0.002217421	0.036144466		
TRIM25	0.615439249	5.431881471	9.351428248	0.002228118	0.036277414		
HEXIM2	1.083533594	3.39954149	9.329294321	0.002255192	0.036676406		
ARRDC4	0.666793855	6.016939391	9.326846338	0.002258207	0.036683655		
WIPF3	1.888307233	-0.860136702	9.32133642	0.002265007	0.036741691		
MAP2K3	0.326054213	6.013477465	9.319785312	0.002266926	0.036741691		
BUB3	-0.297463346	6.65823111	9.313648494	0.002274531	0.036813803		
CELF5	1.446049787	-0.691226441	9.311173615	0.002277605	0.036813803		
EXD1	-0.816071365	1.281782203	9.309964249	0.002279109	0.036813803		
FBP1	-1.344357536	1.172533856	9.305202961	0.00228504	0.036867893		
SVIL	-0.53110162	5.840286491	9.299979698	0.002291564	0.036931424		
P2RY12	-1.190044687	5.477835132	9.29711985	0.002295144	0.036946857		
CACNA2D1	-0.915176488	1.18715456	9.295083583	0.002297697	0.036946857		
DYSF	0.756450286	4.774765765	9.292216348	0.002301296	0.036963105		
LOC104973604	-1.761178581	0.226873773	9.287553138	0.002307161	0.037015681		
LOC101901983	-0.772603838	3.615141682	9.285246964	0.002310068	0.037020715		
CYBB	0.651194583	8.789184429	9.281446414	0.002314866	0.037056016		
ANKRD9	0.997446411	0.339569524	9.277725344	0.002319573	0.037089791		
GGT5	0.81472484	3.659002176	9.274607022	0.002323525	0.03711143		
LOC101908144	-1.003641284	6.609862725	9.260346058	0.002341688	0.037327145		
LOC510382	2.353769892	6.576281539	9.256595511	0.002346488	0.037327145		
MGC127055	1.2346804	0.324936371	9.255595657	0.00234777	0.037327145		
BCL2A1	0.582992876	5.432588147	9.254132135	0.002349647	0.037327145		
IL5RA	-1.347814877	2.309571451	9.253777393	0.002350102	0.037327145		
BTG3	0.497230059	3.946070934	9.243682681	0.002363092	0.037491772		
IMPACT	-0.395664727	5.507184335	9.239310361	0.002368741	0.037539689		
ZNF311	-0.723018777	2.724020949	9.232422979	0.002377668	0.037639381		
KIAA0930	0.390171562	6.916936345	9.227290808	0.002384342	0.037669863		
RNF44	-0.365403002	6.447456611	9.22688545	0.00238487	0.037669863		
MTURN	0.723029408	6.961004457	9.217956584	0.002396529	0.037812193		
LOC104968494	0.516924357	4.670261187	9.209027186	0.002408246	0.037955132		
SLC15A1	0.839511355	2.257142952	9.205944082	0.002412306	0.037958829		
MEI1	-1.142940191	0.809537458	9.204812131	0.002413798	0.037958829		
ITSN1	0.487214368	4.242742819	9.186910861	0.002437519	0.0382897		
CFP	0.593868929	6.906471393	9.177003171	0.00245075	0.038427042		
FCRLA	-0.566097586	5.142234973	9.174498601	0.002454106	0.038427042		
CCNJL	-0.821390853	4.315944281	9.174327095	0.002454336	0.038427042		
LOC100848494	1.426792358	0.829047411	9.170191404	0.002459888	0.038471793		
C19H17orf75	-0.338605355	6.163298466	9.164376189	0.002467717	0.038535275		
M6PR	0.346543741	7.478024806	9.163169606	0.002469345	0.038535275		
LOC788334	0.878705618	6.069760612	9.159615961	0.002474145	0.03855275		
CTNND1	0.531829503	4.522248806	9.158344395	0.002475865	0.03855275		
BRB	-1.387593675	3.665211035	9.155063609	0.002480308	0.03857986		
DTX1	-0.596277038	3.77124609	9.152150437	0.002484259	0.038599282		
LOC104970589	-0.429643888	3.849152572	9.122648916	0.002524641	0.039107755		
LOC104968958	3.595938726	-0.152963624	9.120867643	0.002527101	0.039107755		
LOC101905675	-0.745673942	1.265115957	9.118442397	0.002530453	0.039107755		
LOC100847890	0.568340808	6.905180964	9.117741808	0.002531423	0.039107755		
SLC6A4	1.611136895	5.320706135	9.11718482	0.002532193	0.039107755		
PARP14	0.64530738	8.115719759	9.116300497	0.002533418	0.039107755		
TRIM65	0.364634901	5.532159539	9.113356165	0.002537499	0.039128451		
FADS3	0.677652774	5.930347155	9.104625935	0.002549639	0.039273235		
CTSC	0.544508637	8.183749178	9.094380817	0.00256396	0.039451276		
LOC107131888	-2.247892741	0.346993451	9.085372213	0.00257662	0.039603404		
CTSB	0.525772543	8.851006954	9.08224693	0.002581027	0.039628483		
TXK	-0.387178585	6.433262588	9.076042976	0.002589798	0.03972044		
LOC104970831	-1.024328135	1.670980186	9.072013335	0.002595511	0.039765352		
NAIP	0.721073952	9.061411015	9.066703313	0.002603059	0.039838248		
NPHP3	0.469362583	3.694521379	9.057330675	0.002616437	0.040000107		
SREBF1	0.4206316	5.516221282	9.050180934	0.002626688	0.040113884		
LOC101905770	-0.87836776	1.051257961	9.042676948	0.002637492	0.040235835		
LOC511982	1.518341669	5.731693746	9.039563914	0.002641987	0.040261393		
LOC107131274	0.328435126	6.016678608	9.033595892	0.002650626	0.040318143		
LOC101905779	-0.789649705	1.379426573	9.033091125	0.002651358	0.040318143		
UBE2O	0.414112344	5.579981314	9.029874747	0.002656027	0.040345833		
FXYD3	2.167972456	1.708866756	9.027946726	0.00265883	0.040345833		
NCSTN	0.26539939	6.561063724	9.010059948	0.002684976	0.0406794		
C1H21orf33	0.38509629	5.674677796	9.005466773	0.002691732	0.0406794		
LOC786372	0.665651966	7.447524618	9.005324671	0.002691942	0.0406794		
COX8B	1.730784962	0.477775464	9.005144092	0.002692208	0.0406794		
CHCHD5	0.395593441	4.182841662	8.99647806	0.002705004	0.040827052		
BOLA-DRB2	0.718680302	6.611515358	8.994659053	0.002707698	0.040827052		
JAM3	-0.881464016	3.507116861	8.987150617	0.002718846	0.040923527		
LOC100294954	-1.400433397	0.501240608	8.986490671	0.002719828	0.040923527		
LOC616868	-0.917537534	2.974486083	8.981355622	0.002727482	0.040995493		
CLTB	0.565656549	5.635812721	8.971149133	0.00274276	0.041181783		
TMCO4	0.361121223	5.343064489	8.962052152	0.002756451	0.041343869		
ZDHHC2	0.988084733	3.774750823	8.952457821	0.002770965	0.04146164		
BOLA-DRA	0.485077516	10.43896567	8.947894558	0.002777896	0.04146164		
NOL3	1.013306064	0.259086884	8.947333564	0.002778749	0.04146164		
CARS	0.345012491	5.640046837	8.947117894	0.002779077	0.04146164		
FST	-0.636379185	2.053610955	8.945776026	0.002781119	0.04146164		
MESDC1	0.334498818	4.978091632	8.945378188	0.002781725	0.04146164		
LOC107132617	0.719544378	4.379698143	8.943172333	0.002785086	0.041468452		
FER	0.559940296	3.92239741	8.931263788	0.002803303	0.041659433		
NRN1	0.678658654	3.266978517	8.930974084	0.002803748	0.041659433		
ZNF140	-0.548732235	3.319602144	8.922653751	0.00281655	0.041806145		
FAM76B	-0.290480703	5.87308513	8.919019506	0.00282216	0.04184592		
LAMA5	1.665976198	-0.338717891	8.91687225	0.00282548	0.041851689		
LOC505306	-0.720515714	3.804609162	8.90660029	0.002841418	0.042044147		
TIGAR	0.495625646	2.792097049	8.900237835	0.002851335	0.042127084		
FTH1	0.540864748	10.03410261	8.899221126	0.002852923	0.042127084		
VSTM1	-0.575649566	6.284257824	8.894426543	0.002860424	0.042171192		
DSE	0.494283655	3.872654568	8.893537725	0.002861817	0.042171192		
LOC101902469	-0.611918674	2.722550028	8.889587375	0.002868015	0.042218961		
PTPRB	0.942361998	1.281900531	8.872166993	0.002895512	0.042579835		
LOC107131743	0.498179911	3.928742802	8.858572966	0.002917155	0.042853974		
WRB	-0.582990461	2.561277487	8.855636207	0.002921853	0.042878863		
TMEM184B	0.536303857	5.229284078	8.853553346	0.002925189	0.042883746		
NAMPT	0.374073317	5.836691143	8.844579866	0.002939606	0.043050901		
MSH6	-0.306500239	6.866837456	8.838134186	0.002950006	0.043158948		
RNF14	0.308995465	5.532231608	8.834468595	0.002955937	0.043201458		
PRKCB	0.311663661	8.400956905	8.827486039	0.002967269	0.043297036		
ECE1	0.427578153	7.656294263	8.825429615	0.002970614	0.043297036		
FOXJ2	0.271823851	5.755969609	8.824840712	0.002971573	0.043297036		
HPRT1	0.457879438	6.728538665	8.812557222	0.002991645	0.043545048		
LOC101905248	-0.751435263	2.979060638	8.804643689	0.003004648	0.043647559		
TCEB1	0.451772681	6.00930016	8.804551031	0.003004801	0.043647559		
KCTD18	-0.376136329	4.33456115	8.798125322	0.003015402	0.043757043		
LOC616782	-1.056736901	5.029007876	8.795200639	0.00302024	0.043778747		
IFI44L	0.679651673	6.208059083	8.791728468	0.003025994	0.043778747		
CDADC1	0.361969026	6.279452067	8.791667098	0.003026096	0.043778747		
STOML1	0.717463924	4.750126348	8.783566769	0.003039563	0.043929067		
ERICH6B	2.913514798	-0.759248193	8.779403964	0.003046507	0.043984912		
PRCC	0.263658204	5.645070618	8.77260277	0.003057888	0.044104626		
LOC107133300	-2.049504998	-0.192158859	8.766395972	0.003068311	0.044210312		
RRBP1	0.357702453	6.638782892	8.761124196	0.003077193	0.044293589		
TCF4	-0.420867081	6.258113317	8.75775832	0.003082877	0.044330722		
APH1B	-0.415776696	3.606587795	8.740355797	0.003112438	0.044673336		
LOC104976281	-1.478184663	4.429461425	8.74004936	0.003112961	0.044673336		
PDK4	0.843330283	4.942205628	8.737717156	0.003116945	0.0446856		
RAD9B	-0.72774696	1.019575705	8.734388972	0.003122639	0.044722335		
PARD3B	0.918957489	2.516830649	8.725492949	0.003137912	0.04489604		
TCP11L2	-0.354767187	7.749831059	8.71867338	0.003149671	0.045019178		
IL22RA2	-1.431363986	1.271368271	8.711247493	0.003162527	0.045157726		
RGS14	-0.331571366	7.626384532	8.704930272	0.003173506	0.045232862		
YDJC	0.842805334	0.902617844	8.7045746	0.003174125	0.045232862		
CMAS	0.444750604	6.457108679	8.69775807	0.003186017	0.045357061		
TSPYL2	-0.335796465	5.214734632	8.692797785	0.003194699	0.045435361		
PRCP	0.35931682	4.900900732	8.675118684	0.003225838	0.045776447		
TTLL3	-0.476647794	4.45660936	8.674722337	0.00322654	0.045776447		
JUN	0.443690067	6.291338089	8.669640516	0.00323555	0.045776447		
LOC100848517	-0.831553498	1.085380258	8.668172586	0.003238157	0.045776447		
GAPT	-0.500560497	6.173024433	8.66812997	0.003238233	0.045776447		
LOC104969050	-0.618337773	2.815622193	8.666939213	0.00324035	0.045776447		
LOC101905804	0.89251859	5.81800859	8.666504768	0.003241123	0.045776447		
SH3GL3	2.483650926	-0.128853977	8.661912025	0.003249302	0.045846619		
LOC618733	0.453638181	7.843293115	8.655592315	0.003260591	0.045916133		
POLR1D	0.439626889	5.656979569	8.654318875	0.00326287	0.045916133		
TPI1	0.457785845	6.83696691	8.651236554	0.003268395	0.045916133		
RBPMS	1.077972197	3.726924434	8.650953659	0.003268902	0.045916133		
ARPC5L	-0.346625098	6.953042129	8.65017106	0.003270307	0.045916133		
GSTM3	1.588218779	1.605962184	8.643916378	0.003281553	0.046028771		
SUSD1	0.385376082	5.780716743	8.640817653	0.003287139	0.046061878		
LOC104971220	1.467852574	0.126166292	8.635843384	0.003296126	0.046142534		
LOC789229	-0.45587848	6.63683893	8.629241936	0.003308092	0.046264688		
OMG	-0.407371874	4.042840263	8.617679307	0.003329157	0.046490206		
AGL	-0.497581384	4.487702112	8.616819513	0.003330729	0.046490206		
AK1	1.337484946	0.64369908	8.609579848	0.003343994	0.04662978		
UBE2V2	0.343077425	6.01911009	8.604558895	0.003353226	0.046712888		
LOC513767	-0.483982495	3.63431576	8.600368512	0.00336095	0.046749062		
DUSP5	0.611480756	4.231506468	8.599598972	0.00336237	0.046749062		
KIF1C	0.431430956	5.277040574	8.597532531	0.003366188	0.04675661		
APOM	-0.489917866	3.79819141	8.584458525	0.003390442	0.047047736		
MDH1B	-0.947517845	-0.086354691	8.576216112	0.003405824	0.047215302		
GPC3	1.149122285	0.713822189	8.569272295	0.003418838	0.047349742		
COX5A	0.455836712	6.494582814	8.567468371	0.003422227	0.047350753		
METTL17	-0.361586821	5.071430168	8.563033786	0.003430573	0.047373276		
SUV39H1	-0.404523361	3.651314028	8.561744752	0.003433003	0.047373276		
ATOX1	0.395001998	4.022365121	8.561317818	0.003433808	0.047373276		
FRMD6	-0.54923924	4.848306208	8.559255661	0.003437699	0.047381188		
CUEDC1	0.703528365	2.613014505	8.553850471	0.003447922	0.047476251		
LOC104973297	-1.776318551	-0.332528027	8.550565162	0.00345415	0.04750407		
DRAM2	0.422577871	6.311676577	8.549276596	0.003456596	0.04750407		
NFYA	-0.276793482	5.727139912	8.542193107	0.003470073	0.047604987		
RNF115	0.277069215	5.157207429	8.541913147	0.003470607	0.047604987		
DIXDC1	-0.564527128	7.185475909	8.538554274	0.003477017	0.047647145		
LOC107132070	-0.75330601	0.710987844	8.528861326	0.003495583	0.047855641		
KEAP1	0.341609331	5.57189194	8.520794581	0.003511112	0.048022186		
CALHM2	-0.39554669	4.049662238	8.508504373	0.003534905	0.048301345		
C7H19orf66	0.481386231	5.717441417	8.503224527	0.003545177	0.048395389		
CCDC181	-0.995398284	1.840007611	8.500078164	0.003551312	0.048432844		
ACER2	0.808229585	3.452419298	8.487683478	0.003575588	0.048691732		
LOC104975742	1.556305192	-0.152210952	8.486906561	0.003577115	0.048691732		
LOC613677	0.625415531	3.403860842	8.482530139	0.003585731	0.048762521		
RNASEH2A	-0.38853619	6.403232121	8.477718603	0.003595227	0.048824		
TPP1	0.509496132	4.690676009	8.476776151	0.00359709	0.048824		
AHCY	0.498526253	7.965033827	8.474578659	0.003601438	0.048836592		
CXHXorf65	-0.581571635	2.409522255	8.469238752	0.003612026	0.048933694		
ZNF865	-0.38859783	4.609168958	8.456651951	0.003637108	0.049226785		
PIP4K2C	-0.28424216	6.099172555	8.448135304	0.003654179	0.049411008		
RMDN1	-0.367172579	4.607258459	8.435467857	0.003679722	0.049709319		
RELT	0.742739393	5.48463276	8.429944248	0.003690917	0.04981342		
NKG7	0.754887492	4.599132154	8.424870608	0.00370123	0.049894543		
IER5L	0.607437261	4.902952665	8.423551525	0.003703916	0.049894543		
