genes	logFC	logCPM	LR	PValue	FDR						
FTH1	0.680085264	10.04000245	11.88321442	0.000566421	0.006450449						
ZBTB1	-0.543606064	7.05942301	11.88242061	0.000566662	0.006450449						
FUNDC1	0.602217183	4.056226284	11.88086247	0.000567137	0.006450792						
MGST3	0.587847628	4.802558	11.86375838	0.000572369	0.006505213						
ZNF585A	-0.492139791	5.578065098	11.85948238	0.000573685	0.006511603						
AHCY	0.635768573	7.956160538	11.85901779	0.000573828	0.006511603						
ACADVL	0.404896779	6.921171913	11.85696077	0.000574462	0.006513711						
TTI1	-0.496843824	6.048204539	11.85433138	0.000575274	0.006514704						
TMCO4	0.47291261	5.330964593	11.85033087	0.000576511	0.006514704						
SLC35A5	-0.533996699	6.804313561	11.85022228	0.000576545	0.006514704						
CYP2U1	-0.867906266	2.766990361	11.84956637	0.000576748	0.006514704						
TEP1	0.532257533	5.764920017	11.84942219	0.000576792	0.006514704						
UBE2O	0.541755751	5.59310476	11.84356637	0.000578609	0.006528016						
MYCN	-1.862468242	-0.496850966	11.84272717	0.00057887	0.006528016						
B3GALT4	-0.671172274	3.603239162	11.84042895	0.000579585	0.006531007						
LOC107133249	-1.340447385	0.775833572	11.83263114	0.000582017	0.006549723						
STAB1	-0.949916188	4.393878176	11.83221355	0.000582147	0.006549723						
FXYD6	-0.850418339	5.912623376	11.82163545	0.000585464	0.00658194						
LOC100139881	-1.556705513	4.04693045	11.80480673	0.00059078	0.006636565						
IDO1	0.900659633	8.463868153	11.79216185	0.000594806	0.006676631						
ZNF84	-0.442354557	5.06561879	11.78964297	0.000595612	0.006680508						
WNT5A	-1.365698353	4.554726945	11.78516436	0.000597046	0.006691432						
FAM3B	1.427520194	-0.423567098	11.78254223	0.000597888	0.006695698						
KCNIP3	-1.020957707	2.988216291	11.76702097	0.000602894	0.006746559						
IER5L	0.786929344	4.90622737	11.74029223	0.000611614	0.006838873						
DUSP5	0.771948371	4.23069389	11.73733974	0.000612585	0.006844462						
PRDM16	-1.229431743	3.158770917	11.73408017	0.000613659	0.00685119						
LOC511229	-0.554632536	7.144663941	11.72852454	0.000615494	0.006866395						
RNF10	0.528440305	8.993021659	11.71319717	0.000620584	0.006917869						
LOC104969159	-0.67502531	2.730489954	11.70991533	0.000621679	0.006922218						
LOC101905248	-1.019008991	2.95766999	11.7091736	0.000621927	0.006922218						
MIR27A	-1.853406114	0.383664935	11.69734049	0.000625895	0.006961044						
ATOX1	0.527833869	4.018436025	11.67074963	0.000634904	0.007055841						
SCYL1	0.4113787	6.92114784	11.66645721	0.000636371	0.007066498						
ADAM11	-1.282935481	2.601548381	11.66393615	0.000637234	0.007066498						
LOC104971845	1.057314278	1.835266364	11.66367639	0.000637323	0.007066498						
LOC530929	0.789108881	2.572452789	11.65967167	0.000638696	0.007076324						
LOC107131580	-0.835377783	2.213895592	11.65325408	0.000640903	0.007095366						
UBE2G1	-0.781273897	7.620605947	11.64868383	0.00064248	0.007107402						
SLC25A19	0.563260933	6.136494817	11.64593101	0.000643431	0.00711251						
MTFP1	0.523741767	4.944702476	11.6308963	0.000648653	0.007164778						
PODXL2	-1.499636021	2.192852113	11.62624663	0.000650276	0.007177253						
LPAR2	0.69416492	2.318001011	11.61616236	0.000653812	0.007210793						
ZFP62	-0.605279179	4.678206144	11.606708	0.000657144	0.007242042						
LOC104975044	-1.14257757	0.929260958	11.59882127	0.000659936	0.007267305						
TRIM25	0.779243575	5.415179886	11.59426975	0.000661553	0.007279594						
LOC101908144	-1.37793472	6.653721699	11.56140046	0.000673351	0.007403805						
ZBTB12	0.738724231	3.479673993	11.55039551	0.000677348	0.007442123						
LLGL1	0.438865303	5.012856296	11.54054273	0.000680948	0.007469905						
KCNJ14	0.983060015	0.781687398	11.54032187	0.000681028	0.007469905						
LOC101904754	-1.818792231	-0.183551574	11.53925369	0.00068142	0.007469905						
IPO11	-0.583564647	6.096846554	11.53448156	0.000683171	0.007483456						
ERP27	-0.718757479	3.227011277	11.52528807	0.000686558	0.007514888						
TM6SF1	-0.450699267	6.337416031	11.52331022	0.000687289	0.007517223						
RSU1	1.03840229	7.562713529	11.51519206	0.000690297	0.007544442						
RGS17	-1.970265477	0.509227747	11.51076844	0.000691942	0.007553255						
PTPRB	1.169630279	1.26648196	11.51022671	0.000692143	0.007553255						
GNA15	0.446899344	5.423368082	11.5079625	0.000692987	0.007556783						
TRAF7	0.413582292	5.774066772	11.49756608	0.000696874	0.007591821						
LOC101910184	-1.399112865	0.418865474	11.49553143	0.000697637	0.007591821						
SRPK3	1.762808723	-0.416133358	11.49458133	0.000697994	0.007591821						
ARL10	-0.561122401	3.881591782	11.49379083	0.000698291	0.007591821						
LOC783163	-0.666376859	4.30313591	11.49162276	0.000699106	0.007594997						
CPNE9	-0.857958522	1.894637566	11.47467061	0.000705512	0.007653015						
CCDC62	-0.896821747	1.999710004	11.4736271	0.000705908	0.007653015						
DUSP2	-0.84290476	7.432930807	11.47331353	0.000706027	0.007653015						
PQLC2	0.701986337	4.796796559	11.46932607	0.000707543	0.007663734						
UQCC	0.374196561	4.920523418	11.45642035	0.000712474	0.007707643						
LURAP1	-0.781636508	4.165066507	11.45483042	0.000713084	0.007707643						
TRIB2	-0.675941498	5.164103794	11.45455629	0.000713189	0.007707643						
LOC107132917	-2.054589552	1.579464627	11.45256839	0.000713953	0.007709293						
BOLA-DMA	0.566234948	7.149712373	11.45139531	0.000714403	0.007709293						
PFN2	-2.314216037	1.269153244	11.4444907	0.000717063	0.007732248						
LOC100847609	-0.658025908	3.597980389	11.43097561	0.000722297	0.007782916						
ZBTB46	-0.81089683	4.268607299	11.42474876	0.000724722	0.007803255						
LOC104973928	1.930539353	-0.727987114	11.41453463	0.000728717	0.00784046						
C18H16orf74	-0.452831172	5.213051841	11.4059801	0.000732081	0.007870816						
RASSF4	0.730965705	5.235409932	11.40358591	0.000733025	0.007875137						
IRF4	-0.625235784	6.825964785	11.39898181	0.000734844	0.007888843						
LOC104969545	-1.168060624	2.347224429	11.3929415	0.000737237	0.007908691						
CD40	0.557593185	5.790747873	11.37855059	0.000742971	0.007964317						
SCIN	0.928637085	3.635300893	11.36287012	0.000749269	0.008025914						
ESRRA	0.455627238	6.172940954	11.35923979	0.000750735	0.008035691						
LOC786914	-1.232536744	0.96649066	11.3569719	0.000751653	0.008039585						
SLC30A4	-0.874997637	2.993083763	11.34264302	0.000757474	0.008095891						
PIK3IP1	-0.482011499	6.777161738	11.33698262	0.000759787	0.008114634						
LOC101907941	-0.530134964	3.60005309	11.33033488	0.000762511	0.008137751						
SPTLC1	0.387818559	6.197060412	11.31152577	0.000770275	0.008214565						
RNF207	-1.309019986	1.065929372	11.30271961	0.000773936	0.008247562						
B3GNT6	1.775891805	-0.293934456	11.30126466	0.000774543	0.008247976						
BREH1	-1.503242553	1.035761678	11.29365125	0.000777726	0.008270351						
NR3C1	-0.41523681	6.990520915	11.29351456	0.000777783	0.008270351						
TCF7	-0.523720999	8.159113608	11.27764226	0.000784461	0.008335259						
SIPA1L1	0.464124594	6.055530199	11.27623213	0.000785057	0.008335495						
TARSL2	-1.659676961	1.870785114	11.27453893	0.000785774	0.008337007						
CPA3	-0.98680132	1.321325569	11.26489412	0.000789867	0.008374318						
FAM45A	-0.479026607	7.208266032	11.25199233	0.000795376	0.008426576						
GPR174	-0.611567247	8.455285851	11.23917765	0.000800886	0.008478771						
RNF44	-0.460833573	6.443388199	11.2262683	0.000806476	0.008531733						
MPO	-1.999004688	-0.078322931	11.22366578	0.000807608	0.008537488						
RNASE4	0.732127719	6.210407943	11.21675763	0.00081062	0.008563095						
CEBPE	-1.426248819	1.414077198	11.21030487	0.000813444	0.008586677						
B3GALNT2	0.886451672	2.094082601	11.20511869	0.00081572	0.008601523						
SHTN1	0.57621642	5.435179488	11.20440395	0.000816034	0.008601523						
CALU	0.42825863	5.844834831	11.2000836	0.000817936	0.008610328						
NCKAP5L	-0.569648148	4.128235615	11.19981407	0.000818055	0.008610328						
MAGED4B	-0.647988763	4.540830626	11.19433054	0.000820476	0.008629557						
TOB1	-0.541253642	5.364033907	11.19211565	0.000821456	0.008633613						
STAT5A	0.394863604	6.802932782	11.18831802	0.000823139	0.008645046						
TNS1	-1.497686128	1.086753235	11.17084228	0.000830929	0.008720551						
RTCB	0.442909952	5.703501355	11.15939461	0.000836072	0.008768192						
TMEM57	-0.369134292	5.615452618	11.15627381	0.00083748	0.008776618						
COX7B2	3.077766304	0.585372058	11.14062176	0.000844576	0.008844602						
TAP2	0.471670083	7.108442318	11.13355583	0.000847799	0.008871961						
COMMD10	-0.568604685	4.649719951	11.11982289	0.000854099	0.008931457						
C16H1orf186	-0.796388028	7.165706622	11.11466509	0.000856478	0.008938302						
MID2	0.887194913	3.034868907	11.1126086	0.000857428	0.008938302						
EPM2AIP1	-0.678327844	6.428843717	11.11235464	0.000857545	0.008938302						
LOC788634	-1.734664412	6.916801487	11.11197521	0.000857721	0.008938302						
FADS3	0.822968788	5.919997644	11.11073674	0.000858294	0.008938302						
MGC127055	1.469843313	0.334835185	11.11040758	0.000858446	0.008938302						
MSRB3	0.824403392	2.432693799	11.10810291	0.000859514	0.008943006						
TRAPPC6B	-0.51085685	4.653908769	11.10303075	0.000861868	0.008961078						
LAMA5	2.00930609	-0.357105773	11.09663485	0.000864845	0.008985604						
NCSTN	0.336852705	6.558392609	11.08894639	0.000868438	0.009016486						
APLP2	0.446669854	7.2384307	11.08412222	0.0008707	0.009033515						
ZNF706	0.425785313	5.947081934	11.08227884	0.000871566	0.009036046						
SNX33	1.103582653	0.529838477	11.07451547	0.000875223	0.009065023						
ZFYVE21	0.73131713	4.410162084	11.07369662	0.000875609	0.009065023						
RAD23B	0.333369587	6.554027029	11.06776459	0.000878415	0.009087593						
LOC100847835	-1.698651074	0.877719382	11.06587472	0.000879311	0.009090386						
IL17RE	-1.538253939	0.202388394	11.05937715	0.000882398	0.00911581						
WWC2	0.709928191	3.603082107	11.05511167	0.00088443	0.009124119						
LOC107133082	-1.805457808	0.059435933	11.05505229	0.000884459	0.009124119						
LOC104970698	1.274018842	0.644609365	11.04700589	0.000888305	0.0091573						
DIXDC1	-0.779276754	7.203325978	11.03693521	0.000893144	0.009200649						
LOC101904097	-1.523333015	0.404911574	11.03285815	0.00089511	0.009214371						
STX3	-0.890866174	3.508583848	11.02216795	0.000900287	0.009261099						
CLTB	0.673171039	5.655389241	11.01817992	0.000902226	0.009274476						
CBR3	0.742713321	4.268333969	11.01537803	0.000903591	0.009281937						
AP2M1	0.357361109	7.578476512	11.00719964	0.000907587	0.009316393						
GPR55	-0.975121337	3.284040292	11.00027582	0.000910983	0.009344656						
ARHGEF9	-0.998507089	1.843770696	10.99109344	0.000915508	0.00938444						
PXDN	-1.73182068	0.795654694	10.98767786	0.000917197	0.00939512						
HSPA1A	0.470230288	7.115670633	10.95065372	0.000935706	0.009577963						
PXN	-0.641673607	6.842826094	10.94725462	0.000937424	0.009588792						
MRC2	-1.459541071	0.38573209	10.94553776	0.000938293	0.009590927						
RAB20	1.223174339	3.466988176	10.94098024	0.000940604	0.009607786						
LOC104974028	-1.721504669	-0.389307124	10.93915693	0.00094153	0.009610487						
TRAF3IP2	-0.524659958	4.809460972	10.93417643	0.000944064	0.009625958						
LOC104976274	-0.465087506	5.519051309	10.93357461	0.000944371	0.009625958						
TBC1D16	-0.999890122	1.430699101	10.92973813	0.000946329	0.009639148						
INPP5E	-0.621728751	3.612632102	10.92728699	0.000947582	0.009645145						
TULP2	-0.772384415	2.141545994	10.92228347	0.000950144	0.009664457						
FGD1	-0.879162034	2.172579388	10.91575674	0.000953498	0.009691779						
CD1B5	-2.333169701	-0.471544153	10.91445797	0.000954166	0.009691794						
CSTF3	-0.399462748	6.26426698	10.90170888	0.000960756	0.009746889						
LOC101904903	-2.47450902	0.186062292	10.90136818	0.000960933	0.009746889						
QKI	0.483739343	6.410369308	10.89285716	0.000965358	0.009781709						
SSBP3	-0.430694007	6.045690842	10.89217753	0.000965712	0.009781709						
EARS2	0.954763516	2.693124446	10.88838843	0.00096769	0.00979491						
NDUFAB1	0.493023361	5.193011681	10.88242466	0.000970811	0.009817356						
NKG2C	-1.776212978	2.651059325	10.88156921	0.000971259	0.009817356						
WDSUB1	0.781517795	2.62271677	10.87984414	0.000972164	0.00981967						
IL20RA	1.93298736	-0.339706416	10.87727758	0.000973512	0.009826454						
KIAA0930	0.471500396	6.908976678	10.87289287	0.00097582	0.009842905						
RSPH1	-2.421880741	-0.676786705	10.84515439	0.000990546	0.009984513						
PIEZO1	0.451427242	5.619794982	10.84185795	0.000992311	0.009995367						
LOC511982	1.878999688	5.70860835	10.82967274	0.000998863	0.010054389						
RNASEH2A	-0.514450565	6.403760794	10.8247777	0.001001507	0.010074025						
LOC100847245	3.646010012	3.806801016	10.8174722	0.001005467	0.010106854						
IFI16	0.500353093	8.25041407	10.81273578	0.001008042	0.010125736						
ZBTB14	-0.395617759	4.786886713	10.81107828	0.001008945	0.010127802						
LOC618733	0.557835321	7.834292056	10.80936248	0.001009881	0.010130192						
NAIP	0.866560304	9.068537983	10.78892802	0.00102109	0.010235564						
GNG11	1.313783585	8.684368105	10.78164438	0.001025116	0.010268832						
TP53I11	-0.834046033	1.619158206	10.77845861	0.001026882	0.010279431						
CTSC	0.621124796	8.1841893	10.77531874	0.001028625	0.010289792						
SYTL3	-0.688728754	6.669002179	10.76482559	0.001034473	0.010341171						
ZNF300	-1.035788184	1.340873712	10.74960686	0.001043015	0.010419387						
MTSS1	0.498234621	6.862817136	10.74544427	0.001045363	0.010435673						
LOC100847724	-2.306678836	1.835375797	10.73935886	0.001048807	0.010462855						
PPA1	0.404247591	5.977909228	10.73205788	0.001052953	0.010497007						
CMTM4	0.568851137	4.622557022	10.72143162	0.001059017	0.010550221						
NR1D1	0.774721125	2.219943524	10.71289845	0.001063912	0.010591725						
WC1-8	-1.551983062	4.889108416	10.70935421	0.001065952	0.010604765						
LOC104972294	0.718603294	3.169884261	10.70629727	0.001067715	0.010615031						
MAPK13	-1.007552029	2.130955891	10.69991649	0.001071404	0.010644418						
RNF114	0.42689031	7.534260769	10.69555919	0.00107393	0.010662224						
C1D	-0.43579567	5.222057165	10.66565613	0.001091431	0.010827867						
TMEM204	-0.45407589	5.382670059	10.66450999	0.001092108	0.010827867						
ZBTB24	-0.459924519	5.490198326	10.66214696	0.001093504	0.010827867						
CD47	0.389487477	9.235447416	10.66199126	0.001093596	0.010827867						
LMNA	1.029555731	4.012125853	10.66018364	0.001094665	0.010829358						
CRTAC1	-4.021012105	-0.469638246	10.65921678	0.001095238	0.010829358						
INPP1	-0.43927284	5.365047513	10.65180156	0.001099637	0.010865465						
GADD45B	0.852025454	5.430745328	10.64535965	0.001103474	0.010889229						
ABCA6	0.965840567	5.772713191	10.64462866	0.00110391	0.010889229						
CUEDC1	0.906158999	2.593185224	10.64313307	0.001104804	0.010889229						
PPP1CC	-0.336262683	7.784279884	10.64273523	0.001105041	0.010889229						
CD7	-0.685490098	4.916767751	10.64072799	0.001106241	0.010891354						
CAPN15	0.481656317	5.128779948	10.63986667	0.001106757	0.010891354						
BCOR	-0.441706754	5.684437896	10.63835844	0.001107659	0.01089286						
SURF6	0.477435247	4.51609555	10.63635752	0.001108859	0.010897274						
PDE5A	1.340815483	-0.083554956	10.63156313	0.001111737	0.010918175						
LOC100848869	-2.781892599	-0.901085956	10.62379571	0.001116417	0.010956723						
PTK2B	0.596659673	7.978437084	10.62203482	0.00111748	0.010959756						
BIVM	-0.337988307	5.730997912	10.62005606	0.001118677	0.010964087						
AK1	1.614750668	0.677854252	10.61789905	0.001119982	0.010966962						
LOC101904622	-1.474335146	0.616875621	10.61707746	0.00112048	0.010966962						
TP53INP1	-0.531516822	7.714050305	10.61528756	0.001121565	0.010969468						
LOC513508	-0.907624437	4.713343222	10.61416469	0.001122246	0.010969468						
PPME1	-0.352407879	5.142691776	10.60443551	0.001128167	0.011018602						
HORMAD1	1.273024376	0.64086869	10.60337972	0.001128811	0.011018602						
SFT2D2	-0.538135867	5.41840839	10.60211737	0.001129582	0.011018602						
LOC518080	0.942408553	4.401633092	10.60093061	0.001130308	0.011018602						
LRRC32	-1.232340809	1.188847074	10.59187798	0.001135855	0.011065258						
ENHO	-2.252883773	-0.120863639	10.57726907	0.001144867	0.011145568						
LOC104973633	-2.368606881	3.260844757	10.57228523	0.001147957	0.011166031						
LOC101903213	0.614623328	4.098266979	10.57069155	0.001148947	0.011166031						
AHSA2	0.471241893	3.955350816	10.56927218	0.00114983	0.011166031						
FBXL3	-0.438006913	6.628115338	10.56892877	0.001150044	0.011166031						
ATAD1	0.491377405	6.83144373	10.56656236	0.001151517	0.011172866						
IGCGAMMA	-1.359295995	8.946744684	10.5636403	0.001153338	0.011183071						
CHPF	-0.545405809	4.443054585	10.53949625	0.001168503	0.011322549						
DGKH	1.093699514	1.51706432	10.53708044	0.001170031	0.0113298						
IL21R	0.538842287	5.163263562	10.5339874	0.001171991	0.011341217						
PLEKHF2	-0.426997609	7.415777254	10.51737576	0.001182573	0.011436						
LOC104969173	-0.76241876	2.46022484	10.51259105	0.001185639	0.011458021						
NFE2L2	0.52224874	6.644452217	10.51047445	0.001186998	0.011459958						
NDUFB1	0.672353719	4.426808079	10.5098213	0.001187417	0.011459958						
NRP1	0.763309097	5.715970373	10.50595933	0.001189902	0.011476309						
ERMAP	-1.229795098	0.72944471	10.49827797	0.001194858	0.011513146						
RMDN3	0.460193483	4.096332996	10.49658059	0.001195957	0.011513146						
FCER1G	0.666319817	7.513803589	10.49636069	0.001196099	0.011513146						
MYADM	-0.523577712	7.484129984	10.49501934	0.001196968	0.011513877						
FAM134C	-0.366984805	7.855982904	10.49124283	0.001199417	0.011529799						
LOC531557	0.629755479	5.152340471	10.48000722	0.001206733	0.011592457						
LPAR1	1.593351701	-0.554653945	10.47522071	0.001209863	0.011614848						
NPEPPS	0.392232514	6.171208095	10.47098904	0.001212638	0.011633794						
PARP14	0.788147813	8.106152808	10.46290488	0.001217956	0.011677103						
BAIAP2	-0.885793361	2.726882839	10.45993735	0.001219914	0.01168151						
TRADD	0.454276369	4.957129152	10.45799013	0.001221201	0.01168151						
PTGDR	-0.752309051	4.341176847	10.45790757	0.001221255	0.01168151						
MAFF	1.258492753	2.244393611	10.45733701	0.001221633	0.01168151						
DPF3	1.047166683	1.916083339	10.45439648	0.001223579	0.011692423						
LAMTOR3	0.401806716	6.051215683	10.45139513	0.001225569	0.011703737						
LOC101905290	1.679669993	0.302617767	10.446533	0.001228799	0.011720237						
LOC100848940	-0.537255245	9.88581367	10.44592443	0.001229204	0.011720237						
SLC5A6	0.604307259	3.726326659	10.44515307	0.001229717	0.011720237						
NFYA	-0.353734163	5.717743429	10.43954355	0.001233457	0.011748177						
HDHD3	-0.622732663	4.212756598	10.43012103	0.001239766	0.01179253						
LOC100848315	-0.432383949	6.730167068	10.42981672	0.00123997	0.01179253						
CD8B	-0.611778035	5.626759938	10.42881576	0.001240643	0.01179253						
CDH20	1.931425463	1.057904704	10.42774573	0.001241362	0.01179253						
RNF144A	-0.456833452	6.510492739	10.42138969	0.001245641	0.011822018						
LOC514978	-1.150661435	1.715602472	10.42071924	0.001246094	0.011822018						
ZNF865	-0.507724329	4.614701419	10.41699683	0.001248608	0.011838138						
LOC613822	0.660582943	3.197881654	10.41523902	0.001249797	0.011841682						
CIITA	0.533682558	7.792890556	10.40743667	0.001255088	0.011884067						
LOC101905134	-1.118076358	2.992557353	10.39895337	0.001260868	0.011931011						
DEGS1	0.419690194	5.889057699	10.39535107	0.00126333	0.011946527						
CAB39	0.391447498	7.681853429	10.3896248	0.001267254	0.011975836						
PLXNA2	-1.507931814	1.840055876	10.38463336	0.001270684	0.012000447						
MLLT11	-0.699642858	3.847187791	10.38143169	0.00127289	0.012012861						
ZNF683	-0.87263065	4.390974666	10.38032503	0.001273653	0.012012861						
PDZD11	0.566443736	5.300932883	10.37901455	0.001274557	0.012013589						
LOC540312	-0.534765576	4.643201675	10.37299447	0.00127872	0.012043423						
ACTB	0.493763351	11.64907601	10.37204079	0.00127938	0.012043423						
AP3D1	0.342572036	7.14703518	10.36840056	0.001281906	0.012059377						
LOC107131138	0.571806315	7.29466713	10.36274249	0.00128584	0.012088564						
ETAA1	-0.523392263	5.685059226	10.36044115	0.001287444	0.012095814						
NRP2	0.786779881	5.037240824	10.34290293	0.001299734	0.012203389						
ZNF713	-1.069094555	0.938353417	10.34166554	0.001300606	0.012203684						
LOC100336690	-0.464193296	4.636819137	10.3312106	0.001307994	0.012265081						
NLK	0.445154035	4.97014687	10.3260589	0.00131165	0.012286007						
MIR23A	-1.462269846	0.183733317	10.3256616	0.001311932	0.012286007						
TRIM8	0.361599832	5.64662664	10.32449324	0.001312763	0.012286007						
LOC101901983	-0.979534746	3.633146885	10.30638762	0.001325705	0.012399143						
RAD51AP1	-0.461431024	4.598166571	10.29525541	0.001333727	0.012466141						
SLC2A1	-0.587748682	3.764381573	10.28297031	0.001342636	0.012541346						
CNR2	-0.645583763	4.935918724	10.27946573	0.001345189	0.012557114						
KCTD18	-0.479487459	4.350735835	10.27818853	0.00134612	0.012557739						
LOC100300223	-0.888632426	4.268546336	10.27627172	0.00134752	0.012562723						
FZD4	1.3302381	0.386870453	10.26382754	0.001356639	0.012633743						
CD80	-0.502836126	5.91888995	10.26350416	0.001356877	0.012633743						
TRIM23	-0.513040201	5.15372452	10.25901631	0.001360182	0.012656401						
LOC101903368	-1.794136008	-0.873638703	10.23923272	0.001374848	0.012784675						
LOC617785	0.905934898	4.620169357	10.23359846	0.001379054	0.012815581						
PMM2	0.315158517	5.707581037	10.22863385	0.00138277	0.012841906						
XK	1.087613924	3.614847461	10.22580063	0.001384896	0.012853429						
DNAH7	-0.992123071	4.326464378	10.21662059	0.001391806	0.012909316						
SOCS6	0.943361322	3.545889656	10.21462102	0.001393316	0.012915072						
CYP2D14	0.828218382	3.573904842	10.20354215	0.001401712	0.012984605						
TOM1L1	0.994643695	4.751374886	10.19900753	0.001405163	0.013008277						
RORC	0.944800666	2.682611987	10.19429192	0.00140876	0.01302511						
EFHB	-0.77088128	4.011704867	10.19427371	0.001408774	0.01302511						
ZNF419	-0.651763484	3.437550266	10.1815152	0.001418556	0.013107201						
FHL3	-0.624590114	4.308528093	10.16780882	0.00142914	0.013196606						
LOC504548	0.99738505	7.396137024	10.14593356	0.001446199	0.013345643						
LOC509810	-0.470832723	4.429320487	10.14276965	0.001448683	0.01336008						
IL9R	-0.815753129	5.017623738	10.13080462	0.001458117	0.013438551						
IL10RA	0.507720505	7.567704501	10.12796898	0.001460362	0.013450706						
CDH24	-0.901568116	2.271161107	10.1077623	0.001476461	0.013590367						
LOC505306	-0.908779735	3.799898425	10.09098147	0.001489967	0.013706						
MCM8	-0.557446353	3.837988533	10.07961007	0.001499191	0.013782116						
PCDH15	1.245525793	0.277048413	10.07245901	0.00150502	0.013826958						
STIP1	0.348527492	6.502017925	10.06636904	0.001510003	0.013863967						
CHST1	-0.642060151	4.55880826	10.06396344	0.001511976	0.013869697						
GDAP2	0.397645216	4.514214729	10.06328009	0.001512537	0.013869697						
AASS	0.638384752	3.455537078	10.05373824	0.001520391	0.013931011						
CRYM	2.551955491	-0.735035545	10.05214554	0.001521706	0.013931011						
STMN1	-0.543508319	7.759647274	10.05143951	0.001522289	0.013931011						
OSCAR	0.987964137	4.657548192	10.05050737	0.00152306	0.013931011						
LOC784541	0.674216548	4.820530241	10.04466491	0.001527898	0.013966468						
MR1	0.709299093	4.996105485	10.03977476	0.001531959	0.013994786						
PRIM1	-0.448170188	5.505542656	10.03815926	0.001533303	0.013998261						
LOC531747	-0.707654788	2.781246187	10.03317048	0.001537462	0.014027407						
LOC104969239	-0.934665385	2.772267857	10.0291636	0.00154081	0.01404913						
LOC104972309	-1.390622843	2.385034893	10.02426693	0.001544912	0.014077691						
ZNF771	0.560489279	3.533183535	10.02164841	0.001547109	0.014088881						
MDH1B	-1.288585704	-0.093180475	10.01964986	0.001548789	0.014095339						
ACSF3	-0.466263143	4.069355301	10.00611339	0.001560214	0.014190428						
LOC107131148	1.15391957	1.393874625	10.00442991	0.001561641	0.014194518						
AAMP	0.373865296	6.656870542	9.998909028	0.00156633	0.014228231						
APH1B	-0.538845074	3.611735691	9.996072375	0.001568744	0.014237375						
SSPN	-1.563099406	-0.409711675	9.995371931	0.001569341	0.014237375						
PSMB2	0.427272693	5.763022837	9.994274175	0.001570277	0.014237375						
MRPS15	-0.96891924	7.106770202	9.984635528	0.001578518	0.01429854						
RAB38	-1.543407452	-0.385675304	9.984082654	0.001578992	0.01429854						
TLL2	-1.548394088	2.540773051	9.976679475	0.001585353	0.0143472						
CDS2	-0.506201079	7.998777385	9.975262217	0.001586574	0.014349307						
EIF2AK2	0.79046183	7.273690028	9.972689546	0.001588792	0.014355673						
RAB37	0.75744928	5.839394771	9.971926592	0.001589451	0.014355673						
SMAD9	-1.043537692	2.544473408	9.970756357	0.001590461	0.014355673						
KIT	-0.848247302	3.962607194	9.969597203	0.001591463	0.014355673						
QRSL1	0.337392163	5.338708168	9.968722172	0.00159222	0.014355673						
LOC107132617	0.869967945	4.375002905	9.9601382	0.00159966	0.014411151						
RBM4B	-0.46135454	6.444925591	9.958799187	0.001600824	0.014411151						
SMS	0.48841598	6.486562287	9.958195554	0.001601349	0.014411151						
C10H15orf57	0.340108162	6.164261176	9.955546154	0.001603655	0.014422969						
NUDT11	-1.477973131	-0.035281754	9.943534758	0.001614153	0.014508399						
TLR4	0.695708071	6.0165594	9.937172215	0.001619742	0.014549629						
BRD8	-0.334357709	7.148442975	9.934482836	0.00162211	0.014561896						
PRICKLE3	0.506038128	3.758167779	9.931960438	0.001624334	0.014572858						
CDCA7L	-0.496014173	5.423448901	9.921496266	0.001633595	0.014646896						
SH3BGRL2	-1.517865761	-0.369248927	9.919337174	0.001635513	0.014655041						
SERF2	0.654714507	8.66711616	9.916404729	0.001638121	0.01466936						
ZNF345	-0.726607443	2.89743176	9.913032249	0.001641125	0.014685351						
IRF3	0.41308179	6.846381371	9.912131595	0.001641928	0.014685351						
UQCR10	0.604494705	4.926381849	9.909154606	0.001644586	0.014700073						
LOC101904574	0.705246292	3.396828328	9.905989702	0.001647417	0.014716318						
FCRLA	-0.717232348	5.1387339	9.900955658	0.00165193	0.014747559						
SPATA7	-0.563543452	4.687549454	9.898258394	0.001654353	0.014760118						
SLC6A2	1.503751703	1.042998821	9.895396692	0.001656927	0.014774014						
ZNF287	-0.555397063	4.340119231	9.892576927	0.001659468	0.014787592						
LOC101901998	0.88475496	1.879636291	9.890891207	0.001660989	0.01478998						
TARBP1	-0.427162911	6.136577878	9.890023344	0.001661773	0.01478998						
SPSB2	0.695646023	4.531668314	9.883511213	0.001667664	0.014833325						
SLC25A27	0.537545282	4.111492514	9.878994868	0.001671762	0.014860678						
ST3GAL5	-0.383970046	7.215867183	9.875274536	0.001675146	0.014881649						
SPTLC2	0.505527915	6.586052482	9.855016957	0.001693692	0.015037214						
LOC104968494	0.57824139	4.661135849	9.846010519	0.001702005	0.015101783						
PIP4K2C	-0.345136909	6.100578779	9.84295393	0.001704835	0.015117662						
YWHAG	0.394668837	6.234747761	9.840655296	0.001706967	0.015127329						
LOC104974755	-1.698585692	-0.12676869	9.8354539	0.0017118	0.0151566						
LOC100336949	-1.705273675	-0.317967879	9.834856238	0.001712357	0.0151566						
GRINA	0.517559875	6.357037463	9.831012962	0.001715938	0.015179052						
NKG7	0.934452512	4.590176801	9.82878302	0.00171802	0.015188215						
PCCA	0.492309411	4.327454034	9.810019428	0.001735637	0.015331342						
CDC7	-0.442652877	5.391200874	9.809294881	0.001736321	0.015331342						
